result_id,paper_id,paper_title,year,dataset_guess,metric_guess,value_guess,value_numeric,value_scale_guess,condition_guess,model_guess,evidence_anchor,raw_text,confidence
R00001,P016,Unknown,Unknown,unknown,acc,5.4,5.4,decimal,unknown,unknown,P016_C92,"these methods by 5.4% and 2.4% in mean Acc., using fewer",medium
R00002,P016,Unknown,Unknown,unknown,acc,2.4,2.4,decimal,unknown,unknown,P016_C92,"these methods by 5.4% and 2.4% in mean Acc., using fewer",medium
R00003,P016,Unknown,Unknown,unknown,accuracy,82.6,82.6,decimal,unknown,unknown,P016_C93,"improvement in mean accuracy, rising from 82.6% to 90.6%",medium
R00004,P016,Unknown,Unknown,unknown,accuracy,90.6,90.6,decimal,unknown,unknown,P016_C93,"improvement in mean accuracy, rising from 82.6% to 90.6%",medium
R00005,P016,Unknown,Unknown,unknown,accuracy,77.6,77.6,decimal,unknown,unknown,P016_C94,"ment in mean accuracy, soaring from 77.6% to an impressive",medium
R00006,P017,Unknown,Unknown,unknown,accuracy,0.67,0.67,decimal,unknown,unknown,P017_C172,of them stopped at 0.67 accuracy. There are a lot of diﬀerent,medium
R00007,P079,Unknown,Unknown,unknown,accuracy,99.68,99.68,decimal,unknown,unknown,P079_C397,"performances were good enough, such as InceptionV3 gained 99.68% accuracy,",medium
R00008,P079,Unknown,Unknown,unknown,accuracy,99.19,99.19,decimal,unknown,unknown,P079_C398,"ResNet152V2 got an accuracy of 99.19%, and DenseNet201 performed with",medium
R00009,P079,Unknown,Unknown,unknown,accuracy,99.81,99.81,decimal,unknown,unknown,P079_C399,"99.81% accuracy. However, InceptionResNetV2 achieved the highest accuracy",medium
R00010,P079,Unknown,Unknown,unknown,accuracy,90.22,90.22,decimal,unknown,unknown,P079_C405,validation accuracy of 90.22%. The Convolutional Neural Network (CNN) [24] is very effective and,medium
R00011,P079,Unknown,Unknown,unknown,accuracy,85.7,85.7,decimal,unknown,unknown,P079_C407,better classiﬁcation.Their best-performing architecture gave a validation accuracy of 85.7%. DenseNet is,medium
R00012,P079,Unknown,Unknown,unknown,accuracy,90.2,90.2,decimal,unknown,unknown,P079_C410,accuracy of 90.2%. Other researchers [28] implemented CNN algorithms for feature extraction from,medium
R00013,P079,Unknown,Unknown,unknown,accuracy,91.56,91.56,decimal,unknown,unknown,P079_C411,"architecture gave a validation accuracy of 91.56%. By increasing accuracy, the proposed model achieved",medium
R00014,P079,Unknown,Unknown,unknown,accuracy,97.83,97.83,decimal,unknown,unknown,P079_C413,region to detect deep fakes. Their best-performing architecture gave a validation accuracy of 97.83%.,medium
R00015,P079,Unknown,Unknown,unknown,unknown,0.2,0.2,decimal,unknown,unknown,P079_C422,"datasets. To prevent this issue from happening, the proposed method implements a dropout of 0.2 before",low
R00016,P079,Unknown,Unknown,unknown,accuracy,99.81,99.81,decimal,unknown,unknown,P079_C428,InceptionResNetV2. DenseNet201 achieved a validation accuracy of 99.81% along with a validation loss,medium
R00017,P079,Unknown,Unknown,unknown,accuracy,0.71,0.71,decimal,unknown,unknown,P079_C429,of 0.71%. ResNet152V2 achieved a validation accuracy of 99.19% along with a 3.93% validation loss.,medium
R00018,P079,Unknown,Unknown,unknown,accuracy,99.19,99.19,decimal,unknown,unknown,P079_C429,of 0.71%. ResNet152V2 achieved a validation accuracy of 99.19% along with a 3.93% validation loss.,medium
R00019,P079,Unknown,Unknown,unknown,accuracy,3.93,3.93,decimal,unknown,unknown,P079_C429,of 0.71%. ResNet152V2 achieved a validation accuracy of 99.19% along with a 3.93% validation loss.,medium
R00020,P079,Unknown,Unknown,unknown,accuracy,99.68,99.68,decimal,unknown,unknown,P079_C430,InceptionV3 achieved a validation accuracy of 99.68% along with a validation loss of 1.33%.,medium
R00021,P079,Unknown,Unknown,unknown,accuracy,1.33,1.33,decimal,unknown,unknown,P079_C430,InceptionV3 achieved a validation accuracy of 99.68% along with a validation loss of 1.33%.,medium
R00022,P079,Unknown,Unknown,unknown,accuracy,99.86,99.86,decimal,unknown,unknown,P079_C432,"But compared to the other models, InceptionResNetV2 achieved the highest accuracy of 99.86%. The",medium
R00023,P079,Unknown,Unknown,unknown,accuracy,95.18,95.18,decimal,unknown,unknown,P079_C436,"In Fig. 5, for InceptionResNetV2, the training accuracy was 95.18% in the ﬁrst epoch and subsequently",medium
R00024,P079,Unknown,Unknown,unknown,accuracy,96.82,96.82,decimal,unknown,unknown,P079_C437,"increased with each epoch. The model’s validation accuracy was 96.82%, and it continued to rise until the",medium
R00025,P079,Unknown,Unknown,unknown,accuracy,0.008,0.008,decimal,unknown,unknown,P079_C438,"ﬁnal epoch. After 10 epochs, the training loss was 0.008% and the validation accuracy was 99.82%. In the",medium
R00026,P079,Unknown,Unknown,unknown,accuracy,99.82,99.82,decimal,unknown,unknown,P079_C438,"ﬁnal epoch. After 10 epochs, the training loss was 0.008% and the validation accuracy was 99.82%. In the",medium
R00027,P079,Unknown,Unknown,unknown,accuracy,99.87,99.87,decimal,unknown,unknown,P079_C439,"ﬁnal epoch, validation accuracy was 99.87% and the training loss was almost nil.",medium
R00028,P079,Unknown,Unknown,unknown,accuracy,96.37,96.37,decimal,unknown,unknown,P079_C441,"In Fig. 6, for DenseNet201, the training accuracy was 96.37% in the ﬁrst epoch and subsequently",medium
R00029,P079,Unknown,Unknown,unknown,accuracy,70.4,70.4,decimal,unknown,unknown,P079_C442,"increased with each epoch. The model’s validation accuracy was 70.40%, and it continued to rise until",medium
R00030,P079,Unknown,Unknown,unknown,accuracy,0.27,0.27,decimal,unknown,unknown,P079_C443,"the ﬁnal epoch. After 10 epochs, the training loss was 0.27% and the validation accuracy was 99.35%. In",medium
R00031,P079,Unknown,Unknown,unknown,accuracy,99.35,99.35,decimal,unknown,unknown,P079_C443,"the ﬁnal epoch. After 10 epochs, the training loss was 0.27% and the validation accuracy was 99.35%. In",medium
R00032,P079,Unknown,Unknown,unknown,accuracy,99.81,99.81,decimal,unknown,unknown,P079_C444,"the ﬁnal epoch, validation accuracy was 99.81% and the training loss was almost nil.",medium
R00033,P079,Unknown,Unknown,unknown,accuracy,91.7,91.7,decimal,unknown,unknown,P079_C447,"In Fig. 7, for InceptionV3, the training accuracy was 91.70% in the ﬁrst epoch and subsequently",medium
R00034,P079,Unknown,Unknown,unknown,accuracy,94.39,94.39,decimal,unknown,unknown,P079_C448,"increased with each epoch. The model’s validation accuracy was 94.39%, and it continued to rise until",medium
R00035,P079,Unknown,Unknown,unknown,accuracy,1.27,1.27,decimal,unknown,unknown,P079_C449,"the ﬁnal epoch. After 10 epochs, the training loss was 1.27%, and the validation accuracy was 97.69%. In",medium
R00036,P079,Unknown,Unknown,unknown,accuracy,97.69,97.69,decimal,unknown,unknown,P079_C449,"the ﬁnal epoch. After 10 epochs, the training loss was 1.27%, and the validation accuracy was 97.69%. In",medium
