entity_id,paper_id,paper_title,year,entity_type,entity,normalized_entity,section_type,section_heading,evidence_anchor,context_snippet,char_start,char_end
E00001,P001,Unknown,Unknown,model_backbone,CNN,cnn,unknown,,P001:p1-p3:unknown,ree color channels in the pixel domain and train a model using a deep convolutional neural network (CNN) framework. Experimental results on two diverse and challenging GAN datasets comprising more than 5,1073,1076
E00002,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,Back to articles Articles Volume: 31 | Article ID: art00008 [image] Detecting GAN generated Fake Images using Co- occurrence Matrices •  Image forensics GAN image detection Fake new,78,81
E00003,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,t00008 [image] Detecting GAN generated Fake Images using Co- occurrence Matrices •  Image forensics GAN image detection Fake news Multimedia security Deep Learning Fake images Lakshmanan Nataraj Tajuddin,153,156
E00004,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,"has brought about completely novel ways of transforming and manipulating pixels in digital images. GAN based techniques such as Image-to-Image translations, DeepFakes, and other automated methods have b",635,638
E00005,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,"increasingly popular in creating fake images. In this paper, we propose a novel approach to detect GAN generated fake images using a combination of co-occurrence matrices and deep learning. We extract c",843,846
E00006,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,"p convolutional neural network (CNN) framework. Experimental results on two diverse and challenging GAN datasets comprising more than 56,000 images based on unpaired image-to-image translations (cycleGAN",1141,1144
E00007,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,"nath, Shivkumar Chandrasekaran, Arjuna Flenner, Jawadul H. Bappy, Amit K. Roy-Chowdhury, ""Detecting GAN generated Fake Images using Co- occurrence Matrices""  in Proc. IS&T Int’l. Symp. on Electronic Imag",1906,1909
E00008,P001,Unknown,Unknown,generator_family,GAN,gan,unknown,,P001:p1-p3:unknown,tation   Copyright statement  Copyright © Society for Imaging Science and Technology 2019 Detecting GAN generated Fake Images using Co-occurrence Matrices Interactive images Close Please wait while we lo,2248,2251
E00009,P001,Unknown,Unknown,metric,accuracy,accuracy,unknown,,P001:p1-p3:unknown,"essions (StarGAN [2]) show that our approach is promising and achieves more than 99% classification accuracy in both datasets. Further, our approach also generalizes well and achieves good results when traine",1377,1385
E00010,P001,Unknown,Unknown,method_keyword,co-occurrence,co-occurrence,unknown,,P001:p1-p3:unknown,"this paper, we propose a novel approach to detect GAN generated fake images using a combination of co-occurrence matrices and deep learning. We extract co-occurrence matrices on three color channels in the pixel",892,905
E00011,P001,Unknown,Unknown,method_keyword,co-occurrence,co-occurrence,unknown,,P001:p1-p3:unknown,N generated fake images using a combination of co-occurrence matrices and deep learning. We extract co-occurrence matrices on three color channels in the pixel domain and train a model using a deep convolutional n,945,958
E00012,P001,Unknown,Unknown,method_keyword,co-occurrence,co-occurrence,unknown,,P001:p1-p3:unknown,pyright © Society for Imaging Science and Technology 2019 Detecting GAN generated Fake Images using Co-occurrence Matrices Interactive images Close Please wait while we load the datasets. Nanohub Close Please wait,2280,2293
E00013,P002,Unknown,Unknown,dataset,Synthbuster,synthbuster,unknown,,P002:p1-p8:unknown,", XXXX; date of current version XX Month, XXXX. Digital Object Identifier 10.1109/XXXX.2022.1234567 Synthbuster: Towards Detection of Diffusion Model Generated Images Quentin Bammey1 1Universit´e Paris-Saclay, E",516,527
E00014,P002,Unknown,Unknown,dataset,ArtiFact,artifact,unknown,,P002:p1-p8:unknown,"most diffusion models feature traces at periods of 2, 4, and 8. Firefly even features a 16-periodic artifact component, possibly due to a higher number of upsampling steps. Glide images feature fewer, but mor",9655,9663
E00015,P002,Unknown,Unknown,dataset,ArtiFact,artifact,unknown,,P002:p1-p8:unknown,"information: DOI 10.1109/OJSP.2023.3337714 Quentin Bammey: Original image Base prompt old tesseract artifact in a museum. soft lighting, microfilm, archaeological object, smooth surfaces, frontal perspective",12873,12881
E00016,P002,Unknown,Unknown,model_backbone,CLIP,clip,unknown,,P002:p1-p8:unknown,"ls [52] have witnessed expanding applications in computer vision, primarily fueled by the advent of CLIP [47], a model adept at embedding images and text into a shared space. Capitalizing on this capabili",10346,10350
E00017,P002,Unknown,Unknown,model_backbone,CLIP,clip,unknown,,P002:p1-p8:unknown,"hile Ojha et al. [46] train a network to distinguish real and fake images in the latent domain of a CLIP-trained architecture [22]. However, neither methods achieve good generalizability against methods u",12049,12053
E00018,P002,Unknown,Unknown,model_backbone,CLIP,clip,unknown,,P002:p1-p8:unknown,"h of the 1000 images, descriptions of the images are generated using Midjourney descriptor [40] and CLIP Interrogator [13]. These descriptions are used as a basis to manually write a text prompt to genera",22972,22976
E00019,P002,Unknown,Unknown,generator_family,GAN,gan,unknown,,P002:p1-p8:unknown,"those newer diffusion-based methods is still lacking. It has been noted [21], [25], [38], [55] that GAN-generated images feature frequency artefacts. This is also true, to This work is licensed under a C",4388,4391
E00020,P002,Unknown,Unknown,generator_family,GAN,gan,unknown,,P002:p1-p8:unknown,"turated, while Wang et al. [53] and Gragnaniello et al. [29] train CNNs to differen- tiate real and GAN-generated images. However, these studies largely predate the prevalence of diffusion models and tex",11544,11547
E00021,P002,Unknown,Unknown,generator_family,GAN,gan,unknown,,P002:p1-p8:unknown,"f diffusion models and text- to-image techniques, hence they are primarily trained and evaluated on GAN-generated images sampled from specific classes. Two methods have already been proposed to detect DM",11721,11724
E00022,P002,Unknown,Unknown,generator_family,GAN,gan,unknown,,P002:p1-p8:unknown,"ished database is proposed by Corvi et al. [15], consisting of 1000 images generated with different GAN and diffusion models, including DALL·E 2 [48], Glide [41], and Latent Diffusion [50]. To address th",17720,17723
E00023,P002,Unknown,Unknown,generator_family,GAN,gan,unknown,,P002:p1-p8:unknown,"method is trained on diffusion-model-generated, photorealistic images. It is not trained to work on GAN images, for which numerous tools already exists. Given that the frequency artefacts are usually str",30319,30322
E00024,P002,Unknown,Unknown,generator_family,GAN,gan,unknown,,P002:p1-p8:unknown,"for which numerous tools already exists. Given that the frequency artefacts are usually stronger on GAN images than on DM images, it would be easy to adapt the proposed method to GANs should the need ari",30431,30434
E00025,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"Month, XXXX. Digital Object Identifier 10.1109/XXXX.2022.1234567 Synthbuster: Towards Detection of Diffusion Model Generated Images Quentin Bammey1 1Universit´e Paris-Saclay, ENS Paris-Saclay, CNRS, Centre Bo",550,559
E00026,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"is Cit´e, SSA and INSERM. ABSTRACT Synthetically-generated images are getting increasingly popular. Diffusion models have advanced to the stage where even non-experts can generate photo-realistic images from a",1097,1106
E00027,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"this challenge, we introduce a method specifically designed to detect synthetic images produced by diffusion models. Our approach capitalizes on the inherent frequency artefacts left behind during the diffusi",1654,1663
E00028,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,ffusion models. Our approach capitalizes on the inherent frequency artefacts left behind during the diffusion process. Spectral analysis is used to highlight the artefacts in the Fourier transform of a residua,1756,1765
E00029,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"residual image, which are used to distinguish real from fake images. The proposed method can detect diffusion-model-generated images even under mild JPEG compression, and generalizes relatively well to unknown",1958,1967
E00030,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"ic methodologies and ignite further research into the detection of AI-generated images. INDEX TERMS Diffusion models, Image forensics, Media forensics, Multimedia forensics, Spectral analysis, Synthetic image",2235,2244
E00031,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"istort the truth. However, a new source of disinformation has now appeared. Thanks to the advent of diffusion models [40], [48]–[50] and text-to-image joint embeddings, it is now possible and easy to generate",3181,3190
E00032,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"o focused on this architecture, while the literature on detecting images synthetized by those newer diffusion-based methods is still lacking. It has been noted [21], [25], [38], [55] that GAN-generated images",4300,4309
E00033,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"de  extraction Fake! 156 39 253 FIGURE 1: The proposed method detects synthetic images generated by diffusion models in the spectral domain. It computes a high-pass residual of a suspect image, and analyses su",5188,5197
E00034,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"dividual images, • Based on this, we introduce a spectral method to detect AI-generated images from diffusion models, • We design a database of synthetic images to compare the existing methods. The dataset inc",5684,5693
E00035,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"this paper, we propose a method based on spectral analysis to detect synthetic images generated by diffusion models. We set up a simple method to highlight and anal- yse the frequency artefacts in images, dis",6989,6998
E00036,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"der mild JPEG compression, and distinguish the artefacts caused by compression than those caused by diffusion pro- cesses. The method adapts well to unseen architectures, a gap that is yet to be overcome by ex",7331,7340
E00037,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"fueled by the triad of Variational Autoencoders (VAEs), Generative Adversarial Networks (GANs), and Diffusion Models (DMs). These advancements have revolutionized image synthesis, paving the way towards crafti",7734,7743
E00038,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"deeply influenced the landscape of image generation [9], [32], they have recently been surpassed by diffusion models [51]. These models conceptualize data distribution as a diffusion process, iteratively disto",8000,8009
E00039,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"recently been surpassed by diffusion models [51]. These models conceptualize data distribution as a diffusion process, iteratively distorting the image using a simplistic prior and gradually converting it back",8073,8082
E00040,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"implistic prior and gradually converting it back into the target distribution. Notably, the Ablated Diffusion Model (ADM) [20] has exceeded the capabilities 2 VOLUME , This work is licensed under a Creative Co",8234,8243
E00041,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,DOI 10.1109/OJSP.2023.3337714 <Society logo(s) and publication title will appear here.> (a) Stable Diffusion 1.3 (b) Stable Diffusion 1.4 (c) Stable Diffusion 2 (d) Stable Diffusion XL (e) Glide (f) Midjourne,8768,8777
E00042,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,37714 <Society logo(s) and publication title will appear here.> (a) Stable Diffusion 1.3 (b) Stable Diffusion 1.4 (c) Stable Diffusion 2 (d) Stable Diffusion XL (e) Glide (f) Midjourney v5 (g) DALL·E 2 (h) DAL,8793,8802
E00043,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,d publication title will appear here.> (a) Stable Diffusion 1.3 (b) Stable Diffusion 1.4 (c) Stable Diffusion 2 (d) Stable Diffusion XL (e) Glide (f) Midjourney v5 (g) DALL·E 2 (h) DALL·E 3 (i) Adobe Firefly (,8818,8827
E00044,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,l appear here.> (a) Stable Diffusion 1.3 (b) Stable Diffusion 1.4 (c) Stable Diffusion 2 (d) Stable Diffusion XL (e) Glide (f) Midjourney v5 (g) DALL·E 2 (h) DALL·E 3 (i) Adobe Firefly (j) Raise (real images),8841,8850
E00045,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"dels where images vary in size, only those of the most frequent size are used. We can see that most diffusion models feature traces at periods of 2, 4, and 8. Firefly even features a 16-periodic artifact compo",9560,9569
E00046,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"e model. of GANs and VAEs in image generation, marking a vital inflection point in the evolution of diffusion models. In parallel with diffusion models, Transformer Mod- els [52] have witnessed expanding appli",10175,10184
E00047,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"generation, marking a vital inflection point in the evolution of diffusion models. In parallel with diffusion models, Transformer Mod- els [52] have witnessed expanding applications in computer vision, primari",10210,10219
E00048,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"del adept at embedding images and text into a shared space. Capitalizing on this capability, latent diffusion models [49] such as Stable Diffusion (SD) [50] and DALL·E [48] have extended diffusion models to sy",10461,10470
E00049,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"t into a shared space. Capitalizing on this capability, latent diffusion models [49] such as Stable Diffusion (SD) [50] and DALL·E [48] have extended diffusion models to synthesize images from text prompts in",10498,10507
E00050,P002,Unknown,Unknown,generator_family,diffusion,diffusion,unknown,,P002:p1-p8:unknown,"lity, latent diffusion models [49] such as Stable Diffusion (SD) [50] and DALL·E [48] have extended diffusion models to synthesize images from text prompts in a latent feature space, resulting in a leap forwar",10548,10557
