entity_id,paper_id,paper_title,year,entity_type,entity,normalized_entity,section_type,section_heading,evidence_anchor,context_snippet,char_start,char_end
E00001,P016,Unknown,Unknown,method_keyword,frequency,frequency,unknown,,P016:p1-p1:unknown,The Thirty-Eighth AAAI Conference on Artiﬁcial Intelligence (AAAI-24) Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning Chuang,70,79
E00002,P016,Unknown,Unknown,method_keyword,frequency,frequency,unknown,,P016:p1-p1:unknown,"ﬁcial Intelligence (AAAI-24) Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning Chuangchuang Tan1,2, Yao Zhao1,2*, Shikui Wei1,2, Guanghua Gu3,4, Ping Liu5,",141,150
E00003,P016,Unknown,Unknown,dataset,ArtiFact,artifact,abstract,Abstract,P016:p1-p2:abstract,Abstract real or fake? Conv  Residual  block Conv  Residual  block image freq-level artifact CNN classifier (a) Conventional frequency-based methods Phase  Conv FFT iFFT Conv Conv Conv real or,84,92
E00004,P016,Unknown,Unknown,dataset,DeepFakeDetection,deepfakedetection,abstract,Abstract,P016:p1-p2:abstract,le requiring fewer parameters. The code is available at https://github.com/chuangchuangtan/FreqNet- DeepfakeDetection. Introduction The proliferation of Generative Adversarial Networks (GANs) (Goodfellow et al. 2014;,2227,2244
E00005,P016,Unknown,Unknown,model_backbone,CNN,cnn,abstract,Abstract,P016:p1-p2:abstract,Abstract real or fake? Conv  Residual  block Conv  Residual  block image freq-level artifact CNN classifier (a) Conventional frequency-based methods Phase  Conv FFT iFFT Conv Conv Conv real or fak,93,96
E00006,P016,Unknown,Unknown,generator_family,GAN,gan,abstract,Abstract,P016:p1-p2:abstract,"ency-based paradigms have relied on frequency- level artifacts introduced during the up-sampling in GAN pipelines to detect forgeries. However, the rapid advance- ments in synthesis technology have led t",919,922
E00007,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,nv  Residual  block Conv  Residual  block image freq-level artifact CNN classifier (a) Conventional frequency-based methods Phase  Conv FFT iFFT Conv Conv Conv real or fake? High-Freq Amplitude  Conv image hig,125,134
E00008,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,FT Conv Conv Conv real or fake? High-Freq Amplitude  Conv image high-freq component Classifier with frequency learning (b) FreqNet: Frequency space learning Network Figure 1: Frequency space learning network.,267,276
E00009,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,High-Freq Amplitude  Conv image high-freq component Classifier with frequency learning (b) FreqNet: Frequency space learning Network Figure 1: Frequency space learning network. (a) The traditional studies are,299,308
E00010,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,omponent Classifier with frequency learning (b) FreqNet: Frequency space learning Network Figure 1: Frequency space learning network. (a) The traditional studies are usually limited to developing frequency-lev,342,351
E00011,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"1: Frequency space learning network. (a) The traditional studies are usually limited to developing frequency-level artifacts. (b) Distinguishing itself from prior frequency-based research, our approach shifts",438,447
E00012,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"s are usually limited to developing frequency-level artifacts. (b) Distinguishing itself from prior frequency-based research, our approach shifts its focus to the frequency-related attributes of the features w",502,511
E00013,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"(b) Distinguishing itself from prior frequency-based research, our approach shifts its focus to the frequency-related attributes of the features within the de- tector. This research addresses the challenge of",565,574
E00014,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,or that can effectively identify un- seen deepfake images despite limited training data. Exist- ing frequency-based paradigms have relied on frequency- level artifacts introduced during the up-sampling in GAN,814,823
E00015,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"deepfake images despite limited training data. Exist- ing frequency-based paradigms have relied on frequency- level artifacts introduced during the up-sampling in GAN pipelines to detect forgeries. However, t",855,864
E00016,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"a, leading to suboptimal performance on unseen sources. To address this issue, we introduce a novel frequency-aware approach called FreqNet, centered around frequency domain learning, specifically designed to",1336,1345
E00017,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"o address this issue, we introduce a novel frequency-aware approach called FreqNet, centered around frequency domain learning, specifically designed to enhance the generalizability of deepfake detectors. Our m",1393,1402
E00018,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"eneralizability of deepfake detectors. Our method forces the detector to continuously focus on high-frequency infor- mation, exploiting high-frequency representation of features across spatial and channel dime",1558,1567
E00019,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"r method forces the detector to continuously focus on high-frequency infor- mation, exploiting high-frequency representation of features across spatial and channel dimensions. Additionally, we in- corporate a",1599,1608
E00020,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"of features across spatial and channel dimensions. Additionally, we in- corporate a straightforward frequency domain learning mod- ule to learn source-agnostic features. It involves convolu- tional layers appl",1724,1733
E00021,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,"ly, prior investigations (Frank et al. 2020; Durall et al. 2020) have substantiated the efficacy of frequency artifacts in the realm of deepfake detection, notably in the context of facial de- tection (Qian et",3730,3739
E00022,P016,Unknown,Unknown,method_keyword,frequency,frequency,abstract,Abstract,P016:p1-p2:abstract,ank et al. 2020; Durall et al. 2020) have unveiled the presence of significant artifacts within the frequency domain 5052 The Thirty-Eighth AAAI Conference on Artiﬁcial Intelligence (AAAI-24) Apple CycleGAN-Ap,3987,3996
E00023,P016,Unknown,Unknown,method_keyword,spectrum,spectrum,abstract,Abstract,P016:p1-p2:abstract,ule to learn source-agnostic features. It involves convolu- tional layers applied to both the phase spectrum and am- plitude spectrum between the Fast Fourier Transform (FFT) and Inverse Fast Fourier Transfor,1855,1863
E00024,P016,Unknown,Unknown,method_keyword,spectrum,spectrum,abstract,Abstract,P016:p1-p2:abstract,tic features. It involves convolu- tional layers applied to both the phase spectrum and am- plitude spectrum between the Fast Fourier Transform (FFT) and Inverse Fast Fourier Transform (iFFT). Extensive exper,1880,1888
